name,region,championships,image_url
Spacestation Gaming,NA,1,https://ufhpjqntmtiyxplisbkg.supabase.co/storage/v1/object/sign/halo-imagenes/Spacestation.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV80NTYyYWRmMi05NzRhLTQ5N2ItYTkwYS1kZDdhNjAxNjIxMzkiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJoYWxvLWltYWdlbmVzL1NwYWNlc3RhdGlvbi5wbmciLCJpYXQiOjE3NDk1MTE5NDUsImV4cCI6MTc4MTA0Nzk0NX0.20I_K4SCrzSNd2w7aJU86WbPqfnARJxA2AprdwSoq30
OpTic Gaming,NA,4,https://ufhpjqntmtiyxplisbkg.supabase.co/storage/v1/object/sign/halo-imagenes/Optic%20Gaming.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV80NTYyYWRmMi05NzRhLTQ5N2ItYTkwYS1kZDdhNjAxNjIxMzkiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJoYWxvLWltYWdlbmVzL09wdGljIEdhbWluZy5wbmciLCJpYXQiOjE3NDk1MTE5NzksImV4cCI6MTc4MTA0Nzk3OX0.BvDiYQya-RADmBSTzxX7B23QPXcS_um55ekk6JXAHgY
FaZe Clan,NA,5,https://ufhpjqntmtiyxplisbkg.supabase.co/storage/v1/object/sign/halo-imagenes/Faze%20clan.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV80NTYyYWRmMi05NzRhLTQ5N2ItYTkwYS1kZDdhNjAxNjIxMzkiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJoYWxvLWltYWdlbmVzL0ZhemUgY2xhbi5wbmciLCJpYXQiOjE3NDk1MTIwMTIsImV4cCI6MTc4MTA0ODAxMn0.1D2N9B2KCkNKP6fDiGURUmZ6hQCakRRicdtsoD7oNUo
Shopify Rebellion,NA,2,https://ufhpjqntmtiyxplisbkg.supabase.co/storage/v1/object/sign/halo-imagenes/Shopyfy%20Rebelion.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV80NTYyYWRmMi05NzRhLTQ5N2ItYTkwYS1kZDdhNjAxNjIxMzkiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJoYWxvLWltYWdlbmVzL1Nob3B5ZnkgUmViZWxpb24ucG5nIiwiaWF0IjoxNzQ5NTEyMDM4LCJleHAiOjE3ODEwNDgwMzh9.7Asy3zYjQmryDlsSKYiYuIKmL9qV6hskZSwSl0gE3hI
Cloud9,NA,1,https://ufhpjqntmtiyxplisbkg.supabase.co/storage/v1/object/sign/halo-imagenes/cloud%209.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV80NTYyYWRmMi05NzRhLTQ5N2ItYTkwYS1kZDdhNjAxNjIxMzkiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJoYWxvLWltYWdlbmVzL2Nsb3VkIDkucG5nIiwiaWF0IjoxNzQ5NTEyMDU1LCJleHAiOjE3ODEwNDgwNTV9.HlKmhijCETH3KqxkjMAWCwA7shlRJo34qCMllcVFFgM
Dark Inside,NA,0,https://ufhpjqntmtiyxplisbkg.supabase.co/storage/v1/object/sign/halo-imagenes/Dark%20inside.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV80NTYyYWRmMi05NzRhLTQ5N2ItYTkwYS1kZDdhNjAxNjIxMzkiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJoYWxvLWltYWdlbmVzL0RhcmsgaW5zaWRlLnBuZyIsImlhdCI6MTc0OTUxMjA3MiwiZXhwIjoxNzgxMDQ4MDcyfQ.T5FJy--6rnBitSawRcOlXv14WPwd-XFeS91jFkI9Ytk
Complexity Gaming,NA,0,https://ufhpjqntmtiyxplisbkg.supabase.co/storage/v1/object/sign/halo-imagenes/complex.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV80NTYyYWRmMi05NzRhLTQ5N2ItYTkwYS1kZDdhNjAxNjIxMzkiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJoYWxvLWltYWdlbmVzL2NvbXBsZXgucG5nIiwiaWF0IjoxNzQ5NTEyMDk0LCJleHAiOjE3ODEwNDgwOTR9.1xNiJNnbNWnty8quySv3RvrhsD7i9f8M9TQNWwshHQ0
Mindfreak,APAC,1,https://ufhpjqntmtiyxplisbkg.supabase.co/storage/v1/object/sign/halo-imagenes/mindfreak.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV80NTYyYWRmMi05NzRhLTQ5N2ItYTkwYS1kZDdhNjAxNjIxMzkiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJoYWxvLWltYWdlbmVzL21pbmRmcmVhay5wbmciLCJpYXQiOjE3NDk1MTIxMTQsImV4cCI6MTc4MTA0ODExNH0.0ISKT3HKX-_OkrmeSS7NcOPo39514qT-_69uJ7wmo2k
Team Nemesis,EU,3,https://ufhpjqntmtiyxplisbkg.supabase.co/storage/v1/object/sign/halo-imagenes/Nemesis.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV80NTYyYWRmMi05NzRhLTQ5N2ItYTkwYS1kZDdhNjAxNjIxMzkiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJoYWxvLWltYWdlbmVzL05lbWVzaXMucG5nIiwiaWF0IjoxNzQ5NTEyMTMwLCJleHAiOjE3ODEwNDgxMzB9.GrGYY34aPejsOoG-f_2IQ6X5uJvM8dXQJrzVHqnUXDU
Zero Tenacity,EU,2,https://ufhpjqntmtiyxplisbkg.supabase.co/storage/v1/object/sign/halo-imagenes/zero%20tenacity.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV80NTYyYWRmMi05NzRhLTQ5N2ItYTkwYS1kZDdhNjAxNjIxMzkiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJoYWxvLWltYWdlbmVzL3plcm8gdGVuYWNpdHkucG5nIiwiaWF0IjoxNzQ5NTEyMTQ5LCJleHAiOjE3ODEwNDgxNDl9.XV8ENUZjx90t-kxToyCjbVUfAyI2QSXm6kQ406HJggc
